ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,city,price_per_sqft,rooms_per_bathroom,age_of_property
100323185,The Hipster @ Taman Desa,2022.0,4200.0,Kuala Lumpur - Taman Desa,Condominium,5,2.0,6.0,1842,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Taman Desa,2.278893109061313,0.7142857142857143,3.0
100203973,Segar Courts,2017.0,2300.0,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1170,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,1.964133219470538,1.0,8.0
100323128,Pangsapuri Teratak Muhibbah 2,2017.0,1000.0,Kuala Lumpur - Taman Desa,Apartment,3,1.0,2.0,650,Fully Furnished,"Minimart, Jogging Track, Lift, Swimming Pool",None,Kuala Lumpur,Taman Desa,1.5360983102918586,1.0,8.0
100191767,Sentul Point Suite Apartment,2020.0,1700.0,Kuala Lumpur - Sentul,Apartment,2,1.0,2.0,743,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,2.28494623655914,0.6666666666666666,5.0
97022692,Arte Mont Kiara,2017.0,1299.0,Kuala Lumpur - Mont Kiara,Service Residence,1,1.0,1.0,494,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond,Kuala Lumpur,Mont Kiara,2.624242424242424,0.5,8.0
100322897,Residensi Vista Wirajaya,2017.0,1500.0,Kuala Lumpur - Setapak,Apartment,3,1.0,2.0,884,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,1.694915254237288,1.0,8.0
100322962,Sky Meridien,2017.0,2900.0,Kuala Lumpur - Sentul,Service Residence,3,2.0,2.0,982,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sentul,2.950152594099695,1.0,8.0
100322885,Arte Plus Jalan Ampang,2018.0,1550.0,Kuala Lumpur - Ampang,Service Residence,1,1.0,1.0,700,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Ampang,2.2111269614835947,0.5,7.0
100322866,Nova I,2014.0,1400.0,Kuala Lumpur - Segambut,Apartment,2,1.0,1.0,750,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Segambut,1.8641810918774966,1.0,11.0
100322863,Sofiya Residences,2017.0,1350.0,Kuala Lumpur - Desa ParkCity,Condominium,3,1.0,2.0,862,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Desa Parkcity,1.5643105446118193,1.0,8.0
100322813,The Park Sky Residence @ Bukit Jalil City,2019.0,2600.0,Kuala Lumpur - Bukit Jalil,Service Residence,2,1.0,2.0,868,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Bukit Jalil,2.991944764096663,0.6666666666666666,6.0
100322809,PV9 Residences @ Taman Melati,2022.0,2000.0,Kuala Lumpur - Setapak,Service Residence,4,2.0,2.0,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,1.8165304268846503,1.3333333333333333,3.0
100322802,Arte Plus Jalan Ampang,2018.0,1500.0,Kuala Lumpur - Ampang,Service Residence,1,1.0,1.0,700,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Ampang,2.1398002853067046,0.5,7.0
87950203,Maxim Citilights,2017.0,1300.0,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1009,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,1.2871287128712872,1.0,8.0
